                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1063,                0.56693,                0.80279,                0.86751,                0.56864,                0.66297,                0.40307,                 1.0573,                0.54988,                0.80416,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.0978,                0.56113,                0.80435,                 0.7506,                0.66343,                0.67001,                0.40147,                 1.1065,                0.56053,                0.80637,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.1456,                0.56524,                0.80417,                  0.674,                0.60217,                0.65039,                0.38928,                 1.1161,                0.56013,                0.80478,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.1287,                0.56132,                0.80302,                0.72535,                 0.5976,                0.64446,                0.40596,                 1.0757,                0.55434,                0.80396,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.0784,                0.54199,                0.80134,                0.71373,                0.64387,                 0.6709,                0.41468,                 1.0139,                0.52051,                0.80139,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.0784,                0.54244,                 0.8007,                0.77301,                0.61659,                0.67422,                 0.4223,                 1.0379,                0.51264,                 0.8023,               0.000755,               0.000755,               0.000755
                     42,                 1.0884,                0.54618,                0.80376,                0.68193,                0.63452,                0.65364,                0.40614,                 1.0357,                0.52209,                0.80379,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.1087,                0.55361,                0.80147,                0.82874,                 0.5812,                0.64689,                0.39503,                  1.063,                0.53769,                0.80424,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.1004,                 0.5452,                 0.8014,                0.73888,                0.65764,                 0.6796,                0.40712,                 1.0366,                0.52242,                0.80173,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.0926,                0.54278,                0.79942,                0.77353,                0.60882,                0.67038,                  0.421,                 1.0316,                0.53375,                0.80244,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.0941,                0.54137,                0.80173,                0.68931,                0.63328,                0.67168,                0.41163,                 1.0911,                0.54506,                0.80274,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.1001,                0.54019,                0.80295,                0.75178,                0.65043,                0.68522,                0.42237,                 1.0274,                 0.5255,                0.80192,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.0614,                0.52254,                0.79932,                0.78437,                0.65483,                0.68794,                0.43106,                 1.0053,                0.52293,                0.80105,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.0689,                0.52721,                0.80115,                0.75422,                0.63795,                 0.6882,                0.41461,                 1.0353,                0.52136,                0.80092,               0.000656,               0.000656,               0.000656
                     50,                 1.0601,                0.52377,                0.79898,                0.69429,                0.63257,                0.67462,                0.42884,                 1.0154,                0.52626,                0.79923,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.0627,                0.52101,                0.79941,                0.81867,                0.61398,                0.67254,                0.42593,                0.99842,                0.51019,                0.79964,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.0622,                0.52034,                0.79929,                0.73713,                0.63726,                0.67399,                0.41974,                 1.0232,                0.52635,                0.80139,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.0794,                0.52834,                0.80017,                0.81485,                0.63456,                0.68018,                 0.4237,                 1.0208,                0.51405,                 0.7999,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.0672,                0.52333,                0.79914,                0.72225,                0.62959,                0.67157,                0.42631,                 1.0108,                0.51071,                0.79955,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.0339,                0.50812,                0.79698,                0.72221,                0.64468,                0.67143,                0.43699,                0.99067,                0.50361,                0.79881,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.0378,                0.50429,                0.79898,                0.74823,                0.64095,                0.67276,                0.42466,                 0.9936,                0.49855,                0.79841,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.0415,                0.50637,                0.79513,                0.81387,                0.60274,                0.69618,                0.43892,                  0.982,                0.50708,                 0.7988,               0.000557,               0.000557,               0.000557
                     58,                 1.0292,                0.50616,                0.79665,                 0.7509,                0.59349,                0.67238,                0.43342,                 1.0083,                0.50761,                 0.7996,             0.00054463,             0.00054463,             0.00054463
                     59,                  1.033,                0.50807,                 0.7976,                0.78774,                0.60878,                0.67567,                0.42454,                0.99753,                0.50362,                0.80009,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.0388,                0.50441,                0.79528,                0.84229,                 0.6382,                0.70913,                0.43543,                 1.0014,                0.50072,                0.79907,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.0286,                0.50061,                0.79335,                0.79572,                0.63371,                0.69259,                0.43307,                0.99361,                0.49436,                0.79959,              0.0005075,              0.0005075,              0.0005075
                     62,                  1.049,                0.50133,                0.79687,                0.78781,                0.65767,                0.69273,                0.42179,                 1.0517,                0.51938,                0.80305,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.0118,                0.49338,                0.79503,                0.74118,                0.63108,                0.67633,                0.41727,                 1.0065,                0.50399,                0.79937,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.0076,                0.49271,                0.79453,                0.69165,                0.65822,                0.68013,                0.43251,                0.99288,                0.50433,                0.79869,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.0215,                0.49437,                0.79613,                0.72128,                0.62878,                0.67793,                0.42613,                0.98941,                0.49628,                0.79804,               0.000458,               0.000458,               0.000458
                     66,                 1.0216,                0.49633,                0.79442,                0.78484,                0.65689,                0.70785,                0.44075,                 1.0023,                0.49501,                0.79805,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.0033,                0.48896,                0.79628,                0.74271,                0.61183,                0.68108,                0.43851,                0.98394,                0.49331,                0.79687,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.0123,                0.48821,                 0.7944,                0.83235,                 0.6381,                0.70708,                0.43309,                 1.0141,                0.50843,                0.79858,             0.00042087,             0.00042087,             0.00042087
                     69,                0.98117,                0.48429,                 0.7944,                0.74709,                0.66768,                0.70472,                0.44243,                0.99496,                0.49454,                0.79809,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.0255,                 0.4954,                 0.7957,                0.81222,                0.63647,                0.70112,                0.43335,                 1.0092,                0.51345,                0.79947,             0.00039613,             0.00039613,             0.00039613
                     71,                  1.021,                0.49273,                0.79367,                0.69414,                0.65354,                0.69359,                0.43647,                0.99249,                0.50603,                0.79775,             0.00038375,             0.00038375,             0.00038375
                     72,                 0.9985,                0.48527,                0.79211,                0.71706,                0.63287,                0.69376,                0.42978,                0.99691,                0.50786,                0.79603,             0.00037138,             0.00037138,             0.00037138
                     73,                0.98783,                0.47926,                0.79326,                0.65734,                0.63368,                0.67909,                 0.4328,                  1.011,                0.51405,                0.79762,               0.000359,               0.000359,               0.000359
                     74,                 1.0027,                0.48145,                0.79441,                 0.7979,                0.63611,                0.70486,                0.44883,                 1.0044,                0.49962,                0.79691,             0.00034663,             0.00034663,             0.00034663
                     75,                0.99285,                0.47916,                0.79374,                0.75332,                0.66627,                0.71111,                0.45055,                0.99069,                0.49213,                0.79676,             0.00033425,             0.00033425,             0.00033425
                     76,                 0.9693,                0.47174,                0.79364,                0.78534,                0.65042,                0.70295,                0.44395,                 1.0008,                0.49219,                0.79922,             0.00032188,             0.00032188,             0.00032188
                     77,                0.99981,                0.47664,                0.79316,                0.70241,                0.67219,                0.69721,                0.44769,                 1.0119,                0.50604,                0.79792,              0.0003095,              0.0003095,              0.0003095
                     78,                0.99181,                 0.4772,                0.79209,                0.78146,                0.60056,                0.69099,                0.44926,                0.98132,                0.49648,                0.79666,             0.00029713,             0.00029713,             0.00029713
                     79,                0.97964,                0.47553,                0.79148,                0.76847,                0.62924,                0.68917,                0.44232,                0.99233,                0.49352,                0.79669,             0.00028475,             0.00028475,             0.00028475
                     80,                0.98996,                0.47778,                0.79238,                0.76509,                0.62127,                 0.7007,                0.45272,                0.97879,                0.48682,                0.79568,             0.00027237,             0.00027237,             0.00027237
                     81,                0.96782,                0.46872,                0.79224,                0.76836,                0.65821,                0.71385,                 0.4576,                0.98539,                0.49574,                0.79682,                0.00026,                0.00026,                0.00026
                     82,                0.95407,                0.46627,                 0.7906,                0.69275,                0.66851,                0.69233,                0.45018,                0.97931,                0.49165,                0.79563,             0.00024762,             0.00024762,             0.00024762
                     83,                0.96497,                0.46938,                0.79317,                0.74426,                0.64445,                0.70168,                0.45667,                0.97136,                0.48418,                0.79554,             0.00023525,             0.00023525,             0.00023525
                     84,                0.97645,                0.46835,                0.79075,                0.71058,                0.66236,                0.69553,                0.46001,                0.97688,                0.48839,                 0.7955,             0.00022288,             0.00022288,             0.00022288
                     85,                0.97269,                0.46493,                0.78874,                0.75377,                0.64376,                 0.6985,                0.44823,                0.97566,                0.49139,                0.79524,              0.0002105,              0.0002105,              0.0002105
                     86,                0.95756,                0.46007,                0.79151,                0.80878,                0.60497,                0.69706,                0.45021,                0.98355,                 0.4887,                0.79566,             0.00019813,             0.00019813,             0.00019813
                     87,                0.95461,                0.46169,                0.79011,                 0.6967,                0.67129,                0.69722,                0.45358,                0.96926,                0.48637,                0.79594,             0.00018575,             0.00018575,             0.00018575
                     88,                0.97162,                0.46507,                0.79009,                0.71204,                0.67873,                0.70113,                0.44812,                0.98779,                0.48803,                0.79742,             0.00017338,             0.00017338,             0.00017338
                     89,                0.94767,                0.45864,                0.78919,                0.74586,                0.69689,                0.70902,                0.46387,                0.96836,                0.48043,                0.79594,               0.000161,               0.000161,               0.000161
                     90,                0.95357,                0.45722,                0.79084,                0.74573,                0.69405,                0.71121,                0.46284,                0.97572,                0.48105,                0.79554,             0.00014862,             0.00014862,             0.00014862
